-,content,target,Notes,,,,,,,,,,
../data/icho/uk/2011/1e.json,How many chiral centers are present in the molecular structure of citric acid?,0,"I think it is correct, and the question is clear for me. Also the molecule is quite common so Idk why all models fail",,,,,,,,,,
../data/icho/uk/2020/2g.json,Assume all processes take place at \pu{298 K}. The enthalpy change of formation of \ce{CH4(g)} is \pu{-74.8 kJ mol^{-1}} and of \ce{H2O(l)} is \pu{-285.8 kJ mol^{-1}}. What is the standard enthalpy change of combustion of \ce{H2} in \pu{kJ mol^{-1}}?,-285.8,I think it is correct. I guess the models fail due to the noise of the CH4 enthalpy there,,,,,,,,,,
../data/icho/uk/2021/1b1_0.json,What is the oxidation state of phosphorus in phosphine?,-3,"I think it is correct, but it is needed to know the phosphine but the models should know it. I am a bit confused about this one",,,,,,,,,,
../data/icho/uk/2021/2f.json,"The standard enthalpy change of formation at \pu{298 K} is \pu{-393.5 kJ mol^{-1}} for \ce{CO2}, \pu{-424.8 kJ mol^{-1}} for \ce{KOH}, \pu{-285.8 kJ mol^{-1}} for \ce{H2O} and \pu{-1151.2 kJ mol^{-1}} for \ce{K2CO3}. What is the standard enthalpy change for the reaction \ce{CO2 + 2KOH -> H2O + K2CO3} in \pu{kJ mol^{-1}}?",-193.9,"This one seems correct, and it is straight-forward calculations",,,,,,,,,,
../data/icho/uk/2022/1d.json,"The average bond enthalpy of \ce{C-C} is \pu{347 kJ mol^{-1}}, \ce{C-H} is \pu{413 kJ mol^{-1}}, \ce{O=O} is \pu{498 kJ mol^{-1}}, \ce{C-O} is \pu{358 kJ mol^{-1}}, \ce{C=O} is \pu{805 kJ mol^{-1}} and \ce{O-H} is \pu{464 kJ mol^{-1}}. What is the enthalpy of combustion of an isomer of octane in \pu{kJ mol^{-1}}?",-5144,"I think it is correct, and it is not difficult, it is just simple calculation...",,,,,,,,,,
../data/icho/uk/2022/6b.json,"The standard enthalpy change of the reaction \ce{NaOH + HCl -> NaCl + H2O} is \pu{-56.7 kJ mol^{-1}}, the standard enthalpy change of the reaction \ce{SiO2 + 6HF -> H2SiF6 + 2H2O} is \pu{-100.3 kJ mol^{-1}} and the standard enthalpy change of the reaction \ce{NaOH + HF -> H2O + NaF} is \pu{-61.5 kJ mol^{-1}}. What is the standard enthalpy change of the reaction \ce{SiO2 + 6NaF + 6HCl -> H2SiF6 + 6NaCl + 2H2O} in \pu{kJ mol^{-1}}?",-71.5,I think it is correct,,,,,,,,,,
../data/icho/moldova/2022/X_2022_cal_3.json,What is the sum of the stoichiometric coefficients on the left side of the redox reaction equation: \ce{Cd(NCS)2 + KNO3 -> K2CO3 + CO + SO2 + N2 + CdO}?,"10: 0, 14: 0, 18: 0, 23: 1, 9: 0","This is correct, so it seems that the model can not balance redox reactions",,,,,,,,,,
../data/icho/uk/2023/1d2_1.json,What is the oxidation number of carbon in the products of Sabatier reaction?,-4,This is also correct,,,,,,,,,,
../data/icho/uk/2023/1d2_2.json,What is the oxidation number of hydrogen in the reactants of Sabatier reaction?,0,I think this is correct as well,,,,,,,,,,
../data/icho/uk/2023/1e.json,"The enthalpy change of vaporization of methane is \pu{8.2 kJ mol^{-1}} and the enthalpy change of vaporization of oxygen is \pu{6.8 kJ mol^{-1}}. The enthalpy change of combustion of methane, \ce{CH4(g) + 2O2(g) -> CO2(g) + 2H2O(g)}, is \pu{-890.8 kJ mol^{-1}}. What is the enthalpy change of reaction, in \pu{kJ}, when one mole of liquid methane reacts with liquid oxygen to form gaseous carbon dioxide and gaseous water?",-869,I think this is correct as well,,,,,,,,,,
